staID,Lat,Lon,Elevation
05AD938,49.21776,-113.632222,
05AD939,49.324863,-113.670833,
05AD940,49.12163,-113.659506,
05AD941,49.136111,-113.547222,
05AD942,49.07944444,-113.688611,
05AD943,49.32528611,-113.567036,
05AD944,49.37626944,-113.22255,
05AD945,49.32728889,-113.664981,
05AD946,49.29516389,-113.362906,
05AD947,49.32728889,-113.669011,
05AD948,49.322986,-113.622621,
05ADU01,49,-113,
05ADU02,49,-113,
05ADU03,49.689778,-112.978859,
05ADU04,49.888,-112.472,
05ADU05,49.787444,-113.17559,
05AE002,49.1997271,-113.2966,
05AE003,49.131389,-113.149444,
05AE004,49.075278,-113.211944,
05AE005,49.124919,-113.141771,
05AE007,49.049976,-113.446908,
05AE008,49.147785,-113.388871,
05AE009,49.33361,-113.066676,
05AE010,49.333889,-113.045,
05AE011,49.376827,-112.89029,
05AE012,49.445726,-112.833673,
05AE014,49.374167,-112.897778,
05AE015,49.435833,-112.829722,
05AE016,49.5655702,-112.827487,
05AE017,49.003633,-113.160874,
05AE020,49.044601,-113.124453,
05AE021,49.348611,-113.054167,
05AE022,49.441667,-112.785278,
05AE023,49.062823,-113.517902,
05AE024,49.329711,-112.901357,
05AE025,49.363167,-113.1145,
05AE026,49.343681,-113.043452,
05AE037,49.115606,-113.485549,
05AE038,49.376944,-112.897778,
05AE039,49.077971,-113.539296,
05AE040,49.016252,-113.541474,
05AE041,49.493228,-112.930565,
05AE042,49.5552,-112.784766,
05AE043,49.091829,-113.220781,
05AE901,0,0,
05AE902,49.016667,-113.45,
05AE903,49.158333,-112.916667,
05AE904,49.016913,-113.540284,
05AE905,49.09,-113.606111,
05AE906,0,0,
05AE907,0,0,
05AE908,49.366667,-113.101389,
05AE909,0,0,
05AE910,0,0,
05AE911,49.158,-113.4005,
05AE912,49.131692,-113.253492,
05AE913,49.158333,-113.4,
05AE914,49.158197,-113.2,
05AE915,49.366667,-113.116667,
05AE916,49.346111,-113.041667,
05AE917,49.363194,-113.114639,
05AE918,49.364611,-113.111861,
05AE919,49.3297355,-112.90335,
05AE920,49.334361,-112.891111,
05AE921,49.34811,-113.054933,
05AE922,49.347115,-113.033095,
05AE941,49.116667,-113.616667,
05AEU01,49.3686,-113.11879,
05AF004,49.533333,-112.5,
05AF006,49.357712,-111.658256,
05AF007,49.333421,-110.823305,
05AF008,49.425138,-110.84066,
05AF009,49.236983,-110.744931,
05AF010,49.358004,-110.72376,
05AF011,49.354101,-110.87778,
05AF015,49.397592,-111.00754,
05AF016,49.397672,-110.928916,
05AF017,49.333482,-110.943877,
05AF020,49.372598,-111.042891,
05AF021,49.254209,-110.855623,
05AF022,49.231807,-110.878498,
05AF024,49.417778,-112.671389,
05AF026,49.377835,-112.248908,
05AF027,49.440764,-111.262749,
05AF028,49.434722,-112.698056,
05AF029,49.530352,-112.511213,
05AF031,49.431988,-112.178849,
05AF032,49.405,-112.618611,
05AF033,49.3189,-110.7456,
05AF901,49.375,-111.8,
05AF902,,,
05AF903,49.4,-112.30972,
05AF904,0,0,
05AF905,49.442483,-111.262567,
05AF906,49.366667,-112.223611,
05AF907,49.359722,-112.216667,
05AF908,49.369444,-112.222222,
05AF909,49.391667,-112.202778,
05AF910,49.386111,-112.202778,
05AF911,49.338333,-110.963611,
05AG001,49.779167,-112.455556,
05AG002,50.134167,-112.186389,
05AG003,49.990264,-112.083316,
05AG004,49.988889,-111.725,
05AG005,49.916667,-111.727778,
05AG007,49.843889,-112.429444,
05AG008,49.785493,-112.340306,
05AG009,49.777778,-112.458333,
05AG011,49.775,-112.461111,
05AG012,49.745833,-112.354167,
05AG013,49.661667,-112.442778,
05AG014,49.685,-112.444444,
05AG015,49.69,-112.444167,
05AG016,49.709444,-112.437222,
05AG017,49.705,-112.428333,
05AG018,49.699444,-112.418333,
05AG019,49.698056,-112.415556,
05AG020,49.696389,-112.410556,
05AG021,49.695278,-112.406111,
05AG022,49.691111,-112.393056,
05AG023,49.808333,-112.179167,
05AG024,49.851919,-112.444496,
05AG025,49.880556,-112.013611,
05AG026,49.785578,-112.315819,
05AG027,49.802778,-112.231111,
05AG901,49.61758889,-112.284911,
05AG902,49.7237,-112.083728,
05AG903,49.87361111,-111.733056,
05AG904,49.87361111,-111.733067,
05AG905,49.71944444,-112.074167,
05AH002,49.940678,-110.046604,
05AH003,49.97383,-110.365781,
